Object.id,sensorlocatie,t_sec_nl
395623,"Tiensestraat 76,3000 Leuven,België",LEUVEN CENTRUM
395625,"Herbert Hooverplein 4,3000 Leuven,Belgium",LADEUZEPLEIN
395627,"Kardinaal Mercierplein 2,3000 Leuven,Belgium",BOVEN TIENSESTRAAT
395629,"Naamsestraat 44,3000 Leuven,België",PATER DAMIAANPLEIN
395630,"Naamsestraat 64,3000 Leuven,België",PATER DAMIAANPLEIN
395631,"Naamsestraat 84,3000 Leuven,België",PATER DAMIAANPLEIN
395632,"Brusselsestraat 4,3000 Leuven,België",LEUVEN CENTRUM
395633,"Brusselsestraat 20,3000 Leuven,België",VISMARKT
395634,"Brusselsestraat 42a,3000 Leuven,België",VISMARKT
395635,"Vaartstraat 44,3000 Leuven,België",VITAL DECOSTER
395636,"Vaartstraat 54,3000 Leuven,België",VITAL DECOSTER
395639,"Parkstraat 109,3000 Leuven,België",PARKSTRAAT
395638,"Hendrik Consciencestraat 61,3000 Leuven,België",PARKSTRAAT
395642,"Janseniusstraat 4,3000 Leuven,België",PATER DAMIAANPLEIN
395641,"Janseniusstraat 1,3000 Leuven,België",PATER DAMIAANPLEIN
395640,"Janseniusstraat 7,3000 Leuven,België",PATER DAMIAANPLEIN
395814,"Monseigneur Ladeuzeplein 20,3000 Leuven,België",LADEUZEPLEIN
395815,"Monseigneur Ladeuzeplein 6,3000 Leuven,België",LADEUZEPLEIN
395816,"Monseigneur Ladeuzeplein 25,3000 Leuven,België",LADEUZEPLEIN
395817,"Monseigneur Ladeuzeplein 12,3000 Leuven,België",LADEUZEPLEIN
395643,"Alfons Smetsplein 9,3000 Leuven,België",LEUVEN STADSPARK
395644,"Alfons Smetsplein 3c,3000 Leuven,België",LEUVEN STADSPARK
395645,"Joris Helleputteplein 5,3000 Leuven,België",LEUVEN CENTRUM
395646,"Joris Helleputteplein 2,3000 Leuven,België",LEUVEN CENTRUM
395647,"Dijleterrassen,Dirk Boutslaan,3000 Leuven,België",VISMARKT
395648,"Dijleterrassen,Dirk Boutslaan,3000 Leuven,België",VISMARKT
